Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
48.0,60.0,100.0,57.0,0.0,90.309,281.48,0.0001,0.0,1.1,0.0,0.0026626,11.644,3.0008,62295.0,68057.0,6.5051,298.2,243.9,1.2111,10.0,913.2,35.0,1859.7,1.2741,0.19079,2.8587,16.255,0.92403,0.0,49.561,0.0,1.0,1.0,41.0,41.0,0.0,34667.0,35163.0
60.0,60.0,100.0,72.0,0.0,92.358,65.603,0.0001,500.0,1.1,0.0,0.0022768,13.368,5.0432,69236.0,75658.0,6.5031,298.0,181.96,1.512,10.0,1232.3,34.0,1852.6,1.0868,0.19198,4.9011,18.529,1.1546,0.0,41.349,0.0,1.0,1.0,41.0,41.0,0.0,45609.0,45956.0
72.0,60.0,100.0,84.0,0.0,97.875,13.294,0.0001,500.0,1.1,0.0,0.0016905,14.594,7.3071,77037.0,84138.0,6.4952,298.0,184.22,1.7904,10.0,1400.5,31.0,1775.2,1.3318,0.18912,7.1577,19.866,1.3683,0.0,26.352,0.0,1.0,1.0,41.0,41.0,0.0,55695.0,55729.0
84.0,60.0,100.0,90.0,0.0,59.946,148.78,0.0001,100.0,1.1,0.0,0.0011163,13.429,9.8428,81317.0,89127.0,6.4882,297.97,168.87,2.0723,10.0,1468.0,23.0,1726.5,1.9402,0.1828,9.6792,21.846,1.5852,0.0,27.901,0.0,1.0,1.0,41.0,41.0,0.0,68883.0,69272.0
96.0,75.0,100.0,90.0,0.0,99.52,52.386,0.0001,100.0,1.1,0.0,0.0011151,13.265,12.059,84265.0,92677.0,6.5057,298.01,183.02,1.8152,10.0,1575.5,23.0,1729.7,1.7781,0.18822,11.909,23.12,1.7343,0.0,37.164,0.0,1.0,1.0,41.0,41.0,0.0,78431.0,78673.0
108.0,75.0,100.0,90.0,0.0,99.527,74.322,0.0001,100.0,1.0,0.0,0.0012699,11.355,14.451,80082.0,88177.0,6.4855,298.01,186.07,1.8167,10.0,1609.4,23.0,1721.2,1.8434,0.18772,14.287,24.441,1.7357,0.0,46.364,0.0,1.0,1.0,41.0,41.0,0.0,90839.0,90768.0
120.0,75.0,100.0,105.0,0.0,89.812,39.145,0.0001,100.0,1.0,0.0,0.0013165,10.598,16.907,83039.0,91805.0,6.4891,298.01,184.45,1.9577,9.0,1597.7,23.0,1705.5,1.9256,0.18683,16.741,25.584,1.8712,0.0,55.531,0.0,1.0,1.0,41.0,41.0,0.0,102560.0,102510.0
132.0,75.0,100.0,105.0,0.0,62.677,18.689,0.0001,100.0,1.0,-4000.0,0.0010956,10.336,19.341,79248.0,87704.0,6.4775,298.02,187.57,1.9252,9.0,1482.6,23.0,1659.5,1.807,0.18779,19.176,26.444,1.84,0.0,64.522,0.0,1.0,1.0,41.0,41.0,0.0,113680.0,113650.0
144.0,75.0,100.0,90.0,0.0,48.471,6.3716,68.938,100.0,1.0,0.0,0.00054809,10.821,21.236,82149.0,91253.0,6.5118,298.01,185.91,2.0002,9.0,1485.1,23.0,1670.2,1.6055,0.18917,21.143,26.869,1.9122,0.0,73.098,0.0,1.0,1.0,41.0,41.0,0.0,122160.0,122320.0
156.0,75.0,100.0,90.0,0.0,16.757,20.875,3.6572,0.0,0.9,0.0,0.00036997,9.4826,22.738,76937.0,85589.0,6.4896,297.96,164.62,1.8577,9.0,1607.6,23.0,1748.6,1.4896,0.19032,22.638,26.88,1.7751,0.0,83.199,0.0,1.0,1.0,41.0,41.0,0.0,130200.0,130530.0
168.0,75.0,100.0,90.0,0.0,50.415,22.579,0.80497,400.0,0.9,0.0,0.0010524,11.299,23.674,81365.0,90595.0,6.4919,297.88,134.5,1.8687,9.0,1828.4,23.0,1822.0,1.215,0.19236,23.609,25.987,1.7857,0.0,80.53,0.0,1.0,1.0,41.0,41.0,0.0,134660.0,134670.0
180.0,75.0,100.0,90.0,0.0,72.974,8.8015,73.031,150.0,0.9,0.0,0.0012701,10.469,25.309,78081.0,86851.0,6.4958,298.05,199.71,1.7351,8.0,1918.6,23.0,1846.8,1.3364,0.19171,25.199,25.428,1.6573,0.0,78.853,0.0,1.0,1.0,41.0,41.0,0.0,142480.0,142510.0
192.0,75.0,100.0,90.0,0.0,42.974,17.864,3.2711,150.0,0.9,-4000.0,0.0019443,9.8902,26.869,74671.0,83005.0,6.47,297.94,159.63,1.6227,8.0,1910.4,23.0,1852.1,1.5002,0.19069,26.751,25.148,1.5494,0.0,80.732,0.0,1.0,1.0,41.0,41.0,0.0,149920.0,150290.0
204.0,65.0,100.0,75.0,0.0,53.174,51.345,8.7673,250.0,0.9,0.0,0.0011604,10.611,27.927,78367.0,87312.0,6.4988,297.96,167.31,1.8963,9.0,1999.2,23.0,1898.5,1.3803,0.18946,27.89,24.938,1.5706,0.0,81.435,0.0,1.0,1.0,41.0,41.0,0.0,154900.0,154620.0
216.0,65.0,100.0,75.0,0.0,54.333,33.637,7.2921,250.0,0.9,0.0,0.0015127,10.855,28.588,75586.0,84031.0,6.5056,297.88,137.84,1.751,9.0,2190.4,23.0,1985.1,1.2438,0.19093,28.545,24.384,1.4496,0.0,77.424,0.0,1.0,1.0,41.0,41.0,0.0,157010.0,157390.0
228.0,65.0,100.0,90.0,0.0,46.919,0.052502,72.389,250.0,0.9,0.0,0.0016323,10.951,29.15,79914.0,88961.0,6.4975,297.95,163.77,1.7792,9.0,2361.2,23.0,2065.7,1.374,0.18974,29.117,24.011,1.473,0.0,73.539,0.0,1.0,1.0,41.0,41.0,0.0,160120.0,159850.0
240.0,65.0,100.0,105.0,0.0,14.088,161.7,20.482,250.0,0.9,0.0,8.3135,12.858,27.307,76920.0,85519.0,6.506,298.12,224.32,1.5865,8.0,2968.0,23.0,2350.8,0.85166,0.19465,27.458,23.017,1.3127,0.0,69.727,0.0,1.0,1.0,41.0,41.0,0.0,150470.0,150850.0
243.0,65.0,100.0,105.0,0.0,7.7016,80.608,12.433,250.0,0.9,0.0,11.094,12.926,26.746,77928.0,86695.0,6.4934,297.92,150.98,1.5713,8.0,3130.5,23.0,2428.1,0.84389,0.19475,26.893,22.72,1.3001,0.0,68.742,0.0,1.0,1.0,41.0,41.0,0.0,147690.0,148230.0
1.0,30.0,100.0,8.0,0.0,16.261,95.212,9.2887,0.0,0.6,0.0,1.4727,14.669,0.00099785,58627.0,61783.0,6.527,298.0,281.23,0.093175,5.0,1399.4,22.0,1702.4,-0.09612,0.20679,0.001,0.41111,0.035438,0.0,4.0764,0.0,1.0,1.0,42.0,42.0,0.0,0.0,0.0
12.0,42.0,100.0,15.0,0.0,47.443,129.03,0.0001,0.0,0.6,0.0,2.5746,11.937,0.00096752,58766.0,62252.0,6.499,298.1,308.13,0.27364,0.0,1532.6,30.0,1835.0,0.71156,0.19506,0.00096999,2.2263,0.14577,0.0,10.214,0.0,1.0,1.0,42.0,42.0,0.0,22035.0,21673.0
24.0,55.0,100.0,150.0,0.0,225.0,445.66,0.0001,0.0,0.7,0.0,0.02214,6.2528,0.00090223,61074.0,65336.0,6.3413,298.09,304.53,0.8391,0.0,1143.3,35.0,1794.4,2.407,0.17841,0.0009083,9.8784,0.58624,0.0,21.815,0.0,1.0,1.0,42.0,42.0,0.0,21684.0,21821.0
36.0,55.0,100.0,43.0,0.0,92.354,182.9,0.0001,0.0,0.9,0.0,0.0025281,10.579,1.6964,62137.0,66955.0,6.4952,297.95,262.71,1.1463,0.0,633.28,35.0,1708.0,1.3147,0.18939,1.5589,14.092,0.80153,0.0,36.059,0.0,1.0,1.0,42.0,42.0,0.0,29607.0,29425.0
48.0,60.0,100.0,57.0,0.0,128.47,199.29,0.0001,0.0,1.1,0.0,0.0022068,10.747,4.0437,63778.0,69209.0,6.4963,297.97,268.91,1.3358,10.0,585.06,35.0,1727.9,1.4685,0.1887,3.8625,17.608,1.0196,0.0,50.832,0.0,1.0,1.0,42.0,42.0,0.0,40713.0,40718.0
60.0,60.0,100.0,72.0,0.0,126.27,3.0909,0.0001,500.0,1.1,0.0,0.0017588,12.928,6.4731,70948.0,77032.0,6.5066,297.98,268.38,1.6088,10.0,840.88,34.0,1697.4,1.2957,0.18981,6.3146,19.319,1.2289,0.0,42.965,0.0,1.0,1.0,42.0,42.0,0.0,51535.0,51561.0
72.0,60.0,100.0,84.0,0.0,225.0,12.912,0.30687,500.0,1.1,0.0,0.0017642,14.024,8.6729,79754.0,86518.0,6.4451,297.96,262.1,1.8736,10.0,1033.4,31.0,1618.8,1.5704,0.1867,8.5402,20.123,1.4323,0.0,28.054,0.0,1.0,1.0,42.0,42.0,0.0,63297.0,63343.0
84.0,60.0,100.0,90.0,0.0,79.008,127.35,0.1086,100.0,1.1,0.0,0.001213,12.948,10.93,84876.0,92355.0,6.5257,298.15,336.86,2.1485,10.0,1111.7,23.0,1579.2,1.9261,0.1828,10.771,21.717,1.6438,0.0,29.553,0.0,1.0,1.0,42.0,42.0,0.0,73610.0,73176.0
96.0,75.0,100.0,90.0,0.0,39.777,198.47,18.595,100.0,1.1,0.0,0.000987,12.287,11.72,87824.0,95966.0,6.5014,298.35,416.83,1.8829,10.0,1428.0,23.0,1682.4,2.0687,0.18588,11.581,23.027,1.7994,0.0,39.195,0.0,1.0,1.0,42.0,42.0,0.0,77164.0,77236.0
108.0,75.0,100.0,90.0,0.0,125.86,4.0696,0.96422,100.0,1.0,0.0,0.0007925,11.526,13.645,83761.0,91582.0,6.488,297.96,254.71,1.867,10.0,1543.4,23.0,1703.1,1.6603,0.18901,13.527,24.085,1.7841,0.0,49.165,0.0,1.0,1.0,42.0,42.0,0.0,86265.0,86687.0
120.0,75.0,100.0,75.0,0.0,127.51,0.00207,0.0001,100.0,1.0,0.0,0.00042412,11.784,15.208,86846.0,95245.0,6.5047,297.89,225.75,1.9512,10.0,1754.5,23.0,1755.1,1.5126,0.18996,15.116,24.46,1.865,0.0,58.575,0.0,1.0,1.0,42.0,42.0,0.0,94103.0,94205.0
132.0,75.0,100.0,75.0,0.0,4.6805,20.308,0.074269,100.0,1.0,-4000.0,0.00043415,11.038,16.356,82300.0,90229.0,6.4797,297.91,237.68,1.8343,10.0,2025.5,23.0,1851.3,1.5836,0.18965,16.268,24.338,1.7526,0.0,67.117,0.0,1.0,1.0,42.0,42.0,0.0,99425.0,99370.0
144.0,75.0,100.0,75.0,0.0,75.124,38.907,6.6764,100.0,1.0,0.0,0.00027297,11.558,17.362,84663.0,93101.0,6.4935,297.94,247.64,1.8404,9.0,2328.9,23.0,1965.8,1.3809,0.19117,17.3,24.062,1.7585,0.0,74.382,0.0,1.0,1.0,42.0,42.0,0.0,103560.0,103180.0
156.0,75.0,100.0,75.0,0.0,1.1305,31.275,6.0474,0.0,0.9,0.0,2.4736,10.578,17.958,79277.0,87229.0,6.4951,297.89,228.04,1.6758,9.0,2655.7,23.0,2112.1,1.2449,0.19251,18.005,23.625,1.6004,0.0,82.3,0.0,1.0,1.0,42.0,42.0,0.0,106180.0,105810.0
168.0,75.0,100.0,60.0,0.0,8.0567,14.279,113.49,400.0,0.9,0.0,7.3772,12.527,16.615,83080.0,91490.0,6.5046,298.12,320.89,1.6515,9.0,3315.8,23.0,2377.5,0.98649,0.19449,16.721,22.628,1.5771,0.0,78.544,0.0,1.0,1.0,42.0,42.0,0.0,99486.0,99265.0
180.0,75.0,100.0,75.0,0.0,16.648,0.81786,65.766,150.0,0.9,0.0,12.791,11.959,15.559,78849.0,86754.0,6.5104,297.97,259.37,1.4897,9.0,3955.6,23.0,2637.9,0.99258,0.19477,15.623,21.802,1.4219,0.0,76.544,0.0,1.0,1.0,42.0,42.0,0.0,94135.0,93904.0
192.0,75.0,100.0,75.0,3.6306,0.0,31.424,5.9254,150.0,0.9,-4000.0,20.051,12.135,14.625,74276.0,81771.0,6.6686,297.88,227.29,1.3401,9.0,4570.9,23.0,2891.8,0.78056,0.19665,14.686,21.137,1.2785,0.0,77.98,0.0,1.0,1.0,42.0,42.0,0.0,89355.0,89782.0
204.0,65.0,100.0,60.0,0.0,17.068,35.203,1.0322,250.0,0.9,0.0,27.222,12.355,13.658,77121.0,85146.0,6.5077,297.88,225.75,1.5023,8.0,5182.5,23.0,3130.9,0.8847,0.19453,13.729,20.377,1.2428,0.0,77.754,0.0,1.0,1.0,42.0,42.0,0.0,84434.0,84519.0
216.0,65.0,100.0,60.0,0.0,2.8802,0.89461,74.613,250.0,0.9,0.0,33.519,12.652,12.643,73576.0,81170.0,6.4857,297.98,261.82,1.3369,8.0,5665.3,23.0,3317.3,0.82049,0.19542,12.709,19.455,1.1054,0.0,73.036,0.0,1.0,1.0,42.0,42.0,0.0,79334.0,79743.0
228.0,65.0,100.0,60.0,0.0,12.043,98.33,13.94,250.0,0.9,0.0,39.381,13.103,11.692,77138.0,85223.0,6.505,297.93,244.78,1.2989,7.0,6063.3,23.0,3476.1,0.73513,0.19623,11.753,18.556,1.0739,0.0,68.211,0.0,1.0,1.0,42.0,42.0,0.0,74548.0,74116.0
230.0,65.0,100.0,60.0,0.0,19.405,131.78,2.9039,250.0,0.9,0.0,40.353,13.131,11.542,77739.0,85907.0,6.5129,297.89,228.79,1.2923,7.0,6120.0,23.0,3499.1,0.78685,0.19579,11.602,18.413,1.0684,0.0,67.397,0.0,1.0,1.0,42.0,42.0,0.0,74290.0,74523.0
1.0,30.0,100.0,8.0,0.0,13.313,79.464,7.1917,0.0,0.6,0.0,1.3073,14.613,0.00099806,57016.0,62704.0,6.4774,298.03,251.38,0.10695,5.0,1403.1,22.0,1791.9,-0.064296,0.20617,0.001,0.51401,0.04068,0.0,4.0823,0.0,1.0,1.0,43.0,43.0,0.0,0.0,0.0
12.0,42.0,100.0,15.0,0.0,56.802,352.48,0.0001,0.0,0.6,0.0,0.0090184,12.959,0.00096514,57302.0,63315.0,6.5619,297.94,227.4,0.36269,0.0,1490.1,30.0,1911.4,0.44265,0.19853,0.00096776,3.207,0.19325,0.0,10.892,0.0,1.0,1.0,43.0,43.0,0.0,21525.0,21996.0
24.0,55.0,100.0,150.0,0.0,225.0,405.19,0.0001,0.0,0.7,0.0,0.012208,9.5629,0.00090418,59257.0,65954.0,6.448,298.07,258.9,0.76068,0.0,1177.1,35.0,1905.4,1.7254,0.18581,0.00091036,9.3068,0.53133,0.0,22.274,0.0,1.0,1.0,43.0,43.0,0.0,21181.0,20985.0
36.0,55.0,100.0,43.0,0.0,54.867,203.71,0.0001,0.0,0.9,0.0,0.002343,12.265,1.6175,60142.0,67348.0,6.52,298.0,238.25,1.0166,0.0,710.0,35.0,1838.9,1.0904,0.19197,1.4951,12.861,0.71058,0.0,35.791,0.0,1.0,1.0,43.0,43.0,0.0,29228.0,29212.0
48.0,60.0,100.0,57.0,0.0,70.009,387.79,2.564,0.0,1.1,0.0,0.0021614,12.415,3.7944,61242.0,69013.0,6.4905,298.66,427.19,1.1814,10.0,732.75,35.0,1897.7,1.4091,0.18956,3.6358,16.137,0.90132,0.0,49.903,0.0,1.0,1.0,43.0,43.0,0.0,38509.0,38846.0
60.0,60.0,100.0,72.0,0.0,80.238,258.6,0.0001,500.0,1.1,0.0,0.0019828,13.821,5.9085,67654.0,76062.0,6.4958,298.07,253.15,1.4572,10.0,1050.8,34.0,1902.8,1.3255,0.18982,5.7697,18.265,1.1126,0.0,41.527,0.0,1.0,1.0,43.0,43.0,0.0,48795.0,48650.0
72.0,60.0,100.0,84.0,0.0,49.908,21.633,85.517,500.0,1.1,0.0,0.0015373,15.001,8.009,75172.0,84248.0,6.5071,298.16,279.89,1.7298,10.0,1239.9,31.0,1841.8,1.4387,0.18823,7.8748,19.654,1.3218,0.0,26.373,0.0,1.0,1.0,43.0,43.0,0.0,59574.0,59114.0
84.0,60.0,100.0,90.0,0.0,50.478,122.62,0.11722,100.0,1.1,0.0,0.0010101,14.344,10.362,79093.0,88840.0,6.4968,298.12,264.81,1.9859,10.0,1336.2,23.0,1819.7,1.7266,0.185,10.218,21.528,1.5187,0.0,27.8,0.0,1.0,1.0,43.0,43.0,0.0,71360.0,71587.0
96.0,75.0,100.0,90.0,0.0,43.6,0.099628,0.010743,100.0,1.1,0.0,0.00071374,14.402,12.308,81515.0,91790.0,6.4974,297.96,206.2,1.7077,10.0,1511.8,23.0,1863.9,1.6004,0.18977,12.183,22.506,1.6311,0.0,36.874,0.0,1.0,1.0,43.0,43.0,0.0,79575.0,79986.0
108.0,75.0,100.0,90.0,0.0,59.66,0.0001,0.0001,100.0,1.0,0.0,0.00089135,12.824,14.264,77003.0,86851.0,6.511,297.98,212.91,1.6607,10.0,1704.7,23.0,1910.1,1.6135,0.18976,14.132,23.255,1.5859,0.0,45.686,0.0,1.0,1.0,43.0,43.0,0.0,89848.0,89942.0
120.0,75.0,100.0,105.0,0.0,109.79,1.5151,0.0001,100.0,1.0,0.0,0.0013818,11.821,16.333,79891.0,90333.0,6.5065,298.0,221.28,1.7747,11.0,1840.9,23.0,1934.2,1.9361,0.1871,16.198,24.111,1.6954,0.0,54.295,0.0,1.0,1.0,43.0,43.0,0.0,98674.0,98453.0
132.0,75.0,100.0,105.0,0.0,76.229,23.681,0.0001,100.0,1.0,-4000.0,0.0012063,11.514,18.404,76116.0,86221.0,6.4542,298.02,226.93,1.7453,11.0,2001.8,23.0,1957.4,1.7799,0.18834,18.252,24.953,1.6671,0.0,62.751,0.0,1.0,1.0,43.0,43.0,0.0,109010.0,109140.0
144.0,75.0,100.0,105.0,0.0,58.857,5.4986,37.123,100.0,1.0,0.0,0.00071583,11.873,20.214,79397.0,90144.0,6.5085,297.96,207.22,1.8261,12.0,2257.1,23.0,2014.6,1.6147,0.18943,20.112,25.393,1.7447,0.0,70.885,0.0,1.0,1.0,43.0,43.0,0.0,118080.0,118220.0
156.0,75.0,100.0,105.0,0.0,3.1239,49.779,1.0795,0.0,0.9,0.0,5.8185,11.523,20.029,74300.0,84644.0,6.4892,297.93,195.41,1.6706,12.0,2943.8,23.0,2290.1,1.3341,0.19185,20.089,25.086,1.5954,0.0,80.788,0.0,1.0,1.0,43.0,43.0,0.0,116850.0,116830.0
168.0,75.0,100.0,105.0,0.0,13.02,9.084,61.197,400.0,0.9,0.0,15.227,13.465,18.352,78622.0,89606.0,6.4914,297.91,189.6,1.6469,11.0,3850.6,23.0,2620.7,0.86984,0.19537,18.482,23.803,1.5727,0.0,79.45,0.0,1.0,1.0,43.0,43.0,0.0,108490.0,109120.0
180.0,75.0,100.0,105.0,0.0,15.13,142.14,18.061,150.0,0.9,0.0,25.141,12.692,17.017,74995.0,85639.0,6.4959,298.02,230.86,1.4792,10.0,4709.8,23.0,2928.4,1.0673,0.19423,17.096,22.709,1.4118,0.0,79.81,0.0,1.0,1.0,43.0,43.0,0.0,101740.0,102030.0
192.0,75.0,100.0,105.0,4.1486,0.023941,115.84,14.93,150.0,0.9,-4000.0,33.452,12.851,15.881,70864.0,81131.0,6.6858,297.97,209.85,1.3261,10.0,5411.4,23.0,3204.0,0.82962,0.19631,15.955,21.858,1.2652,0.0,83.567,0.0,1.0,1.0,43.0,43.0,0.0,95941.0,96213.0
204.0,65.0,100.0,120.0,0.0,50.913,1.2357,81.657,250.0,0.9,0.0,42.339,13.331,14.666,74397.0,85278.0,6.4954,298.0,221.87,1.4872,9.0,6053.9,23.0,3451.4,0.79824,0.19531,14.757,20.852,1.2302,0.0,85.621,0.0,1.0,1.0,43.0,43.0,0.0,89781.0,89541.0
216.0,65.0,100.0,120.0,0.0,6.1805,11.939,111.53,250.0,0.9,0.0,50.931,13.598,13.399,71726.0,82300.0,6.5203,298.1,255.66,1.3201,9.0,6549.5,23.0,3628.4,0.60741,0.19729,13.482,19.646,1.0914,0.0,83.112,0.0,1.0,1.0,43.0,43.0,0.0,82422.0,82004.0
228.0,65.0,100.0,120.0,0.0,13.066,11.421,115.11,250.0,0.9,0.0,60.095,14.014,12.254,76041.0,87286.0,6.5086,298.07,247.02,1.2823,10.0,7050.6,23.0,3804.6,0.48542,0.19841,12.326,18.526,1.0601,0.0,80.425,0.0,1.0,1.0,43.0,43.0,0.0,76657.0,76229.0
231.0,65.0,100.0,120.0,1.0373,0.0,12.087,73.767,250.0,0.9,-4000.0,62.316,14.002,11.991,73567.0,84520.0,6.5944,297.95,201.97,1.2196,10.0,7171.2,23.0,3847.0,0.49496,0.19846,12.06,18.266,1.0081,0.0,79.727,0.0,1.0,1.0,43.0,43.0,0.0,75830.0,75733.0
1.0,30.0,100.0,8.0,0.0,0.0,73.2,7.0939,0.0,0.6,0.0,1.2388,14.421,0.00099813,57797.0,62345.0,6.4921,298.01,211.54,0.10056,5.0,1407.9,22.0,1657.1,-0.065256,0.2062,0.001,0.46767,0.038245,0.0,4.0798,0.0,1.0,1.0,44.0,44.0,0.0,0.0,0.0
12.0,42.0,100.0,15.0,0.0,58.403,179.99,0.0001,0.0,0.6,0.0,1.3375,10.008,0.00096724,57966.0,62842.0,6.4971,298.14,244.47,0.30946,0.0,1517.7,30.0,1786.9,0.82183,0.19349,0.00096981,2.5864,0.16487,0.0,10.502,0.0,1.0,1.0,44.0,44.0,0.0,22030.0,21668.0
24.0,55.0,100.0,150.0,0.0,225.0,601.73,0.0001,0.0,0.7,0.0,0.019258,4.0304,0.00090603,59960.0,65560.0,6.3982,298.1,232.13,0.78954,0.0,1167.9,35.0,1769.9,1.9699,0.18317,0.00091219,9.5,0.55153,0.0,22.031,0.0,1.0,1.0,44.0,44.0,0.0,21682.0,21819.0
36.0,55.0,100.0,43.0,0.0,40.072,135.66,0.0001,0.0,0.9,0.0,0.0024877,8.0905,1.6115,60753.0,66886.0,6.4878,297.98,198.09,1.0772,0.0,685.62,35.0,1702.5,1.1878,0.19084,1.4783,13.5,0.75306,0.0,35.924,0.0,1.0,1.0,44.0,44.0,0.0,28193.0,28678.0
48.0,60.0,100.0,57.0,0.0,47.841,98.477,0.0001,0.0,1.1,0.0,0.0023845,6.7811,3.7441,61707.0,68459.0,6.4982,297.97,194.58,1.2867,10.0,667.09,35.0,1758.7,1.5266,0.18824,3.5936,17.46,0.9819,0.0,50.461,0.0,1.0,1.0,44.0,44.0,0.0,39251.0,39420.0
60.0,60.0,100.0,72.0,0.0,68.459,12.964,0.0001,500.0,1.1,0.0,0.0019376,9.7576,5.9913,68061.0,75481.0,6.4958,297.98,196.07,1.5835,10.0,973.35,34.0,1762.9,1.3819,0.18905,5.8396,19.789,1.2094,0.0,42.602,0.0,1.0,1.0,44.0,44.0,0.0,49681.0,49536.0
72.0,60.0,100.0,84.0,0.0,58.669,3.7652,1.3406,500.0,1.1,0.0,0.0014087,11.678,8.1492,75511.0,83588.0,6.5018,297.94,180.67,1.8371,10.0,1174.6,31.0,1714.0,1.5201,0.18725,8.0175,20.831,1.4043,0.0,27.841,0.0,1.0,1.0,44.0,44.0,0.0,60236.0,60610.0
84.0,60.0,100.0,90.0,0.0,51.087,48.412,0.0001,100.0,1.1,0.0,0.0012522,9.499,10.59,79713.0,88492.0,6.5032,297.99,197.92,2.1066,10.0,1240.9,23.0,1684.9,2.1292,0.18093,10.426,22.659,1.6116,0.0,29.523,0.0,1.0,1.0,44.0,44.0,0.0,71949.0,71512.0
96.0,75.0,100.0,90.0,0.0,78.069,27.685,0.0001,100.0,1.1,0.0,0.0010387,9.281,12.293,82613.0,92021.0,6.4797,297.99,200.21,1.8418,10.0,1418.8,23.0,1730.9,2.0305,0.18625,12.138,23.939,1.7598,0.0,39.092,0.0,1.0,1.0,44.0,44.0,0.0,80467.0,80711.0
108.0,75.0,100.0,90.0,0.0,49.275,12.806,0.0001,100.0,1.0,0.0,0.0010032,7.5284,14.589,78253.0,87315.0,6.4995,297.99,200.59,1.8184,10.0,1500.0,23.0,1739.7,1.8122,0.18795,14.433,25.066,1.7373,0.0,48.661,0.0,1.0,1.0,44.0,44.0,0.0,90892.0,90822.0
120.0,75.0,100.0,90.0,0.0,60.29,0.0001,0.0001,100.0,1.0,0.0,0.0008691,7.0507,16.761,80843.0,90521.0,6.5112,297.98,196.89,1.9297,10.0,1609.0,23.0,1762.0,1.7885,0.18792,16.623,25.938,1.8443,0.0,57.96,0.0,1.0,1.0,44.0,44.0,0.0,100710.0,101160.0
132.0,75.0,100.0,90.0,0.0,50.937,7.4,0.0001,100.0,1.0,-4000.0,0.0013508,5.8118,18.559,76517.0,85822.0,6.495,297.98,196.9,1.8707,10.0,1738.7,23.0,1800.2,1.8507,0.18756,18.488,26.609,1.7876,0.0,66.845,0.0,1.0,1.0,44.0,44.0,0.0,109710.0,110170.0
144.0,75.0,100.0,75.0,0.0,54.565,68.681,9.9991,100.0,1.0,0.0,0.00055816,6.5133,19.697,79031.0,88959.0,6.4999,297.98,196.48,1.9498,9.0,1986.8,23.0,1902.1,1.6185,0.18917,19.611,27.242,1.8636,0.0,75.33,0.0,1.0,1.0,44.0,44.0,0.0,114980.0,115280.0
156.0,75.0,100.0,75.0,0.0,18.812,83.704,10.694,0.0,0.9,0.0,0.0010241,4.6453,20.36,73768.0,83240.0,6.5183,298.01,206.88,1.8104,9.0,2270.8,23.0,2042.7,1.5589,0.18988,20.357,27.317,1.7297,0.0,85.284,0.0,1.0,1.0,44.0,44.0,0.0,118400.0,118380.0
168.0,75.0,100.0,90.0,0.0,17.441,109.57,15.645,400.0,0.9,0.0,7.0121,9.6328,18.836,77906.0,87998.0,6.4995,297.94,182.66,1.7987,10.0,2998.7,23.0,2325.5,0.81566,0.19548,18.967,26.191,1.7184,0.0,83.037,0.0,1.0,1.0,44.0,44.0,0.0,110290.0,110930.0
180.0,75.0,100.0,90.0,0.0,15.129,65.266,1.8009,150.0,0.9,0.0,17.019,8.4549,17.501,74104.0,83839.0,6.5116,297.81,137.68,1.6153,10.0,3760.3,23.0,2631.0,0.91637,0.19509,17.581,25.039,1.5423,0.0,82.402,0.0,1.0,1.0,44.0,44.0,0.0,103560.0,103520.0
192.0,75.0,100.0,90.0,4.1508,0.00096773,25.876,195.89,150.0,0.9,-4000.0,26.341,8.6373,16.369,69779.0,79157.0,6.6603,298.34,319.76,1.4459,10.0,4494.0,23.0,2925.5,0.8718,0.19576,16.443,24.156,1.3799,0.0,85.175,0.0,1.0,1.0,44.0,44.0,0.0,98297.0,98240.0
204.0,65.0,100.0,75.0,0.0,6.8917,46.586,161.75,250.0,0.9,0.0,34.609,9.0307,15.203,72835.0,82786.0,6.5018,298.08,233.35,1.6217,9.0,5217.7,23.0,3202.9,0.87453,0.19438,15.287,23.164,1.3421,0.0,86.262,0.0,1.0,1.0,44.0,44.0,0.0,91389.0,91988.0
